"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Tavares","Kinsley","F","11","Young","394.00444","paid","Red Bluff, CA","658","Heaven Must Be Missing An Angel","85"
"Maria BethÃÂ¢nia","Jayden","M","74","Graves","254.06649","paid","Marinette, WI-MI","594","Samba De Roda/Marinheiro SÃÂ³ (Medley) (Live)","25"
"Justin Bieber","Kinsley","F","12","Young","220.89098","paid","Red Bluff, CA","658","Somebody To Love","85"
"Van Halen","Kinsley","F","13","Young","272.32608","paid","Red Bluff, CA","658","Feels So Good (Remastered Single Version)","85"
"Julieta Venegas A Dueto Con Dante","Jayden","M","75","Graves","236.9824","paid","Marinette, WI-MI","594","Primer Dia","25"
"Apocalyptica","Jayden","M","76","Graves","409.86077","paid","Marinette, WI-MI","594","Coma","25"
"The Wreckers","Kinsley","F","14","Young","171.36281","paid","Red Bluff, CA","658","Stand Still_ Look Pretty [Live]","85"
"Prince & The Revolution","Kinsley","F","15","Young","227.65669","paid","Red Bluff, CA","658","Kiss (LP Version)","85"
"Third Eye Blind","Jayden","M","77","Graves","319.79057","paid","Marinette, WI-MI","594","God Of Wine (2006 Remastered LP Version)","25"
"Dr. Dre / Eminem","Kinsley","F","16","Young","222.27546","paid","Red Bluff, CA","658","Forgot About Dre","85"
"Symphony X","Kinsley","F","17","Young","318.37995","paid","Red Bluff, CA","658","Evolution (the Grand Design)","85"
"Streetlight Manifesto","Jayden","M","78","Graves","180.79302","paid","Marinette, WI-MI","594","Keasbey Nights (LP Version)","25"
"Amos Lee","Kinsley","F","18","Young","169.16853","paid","Red Bluff, CA","658","Soul Suckers","85"
"The Gabe Dixon Band","Kinsley","F","19","Young","296.85506","paid","Red Bluff, CA","658","Disappear","85"
"Mogwai","Kinsley","F","20","Young","473.25995","paid","Red Bluff, CA","658","Thank You Space Expert","85"
"Mystery Jets","Kinsley","F","21","Young","212.32281","paid","Red Bluff, CA","658","You Can't Fool Me Dennis (Album version)","85"
"Mates of State","Kinsley","F","22","Young","227.36934","paid","Red Bluff, CA","658","Parachutes (Funeral Song) (LP Version)","85"
"R.E.M.","Kinsley","F","23","Young","217.99138","paid","Red Bluff, CA","658","Can't Get There From Here","85"
"Taylor Swift","Kinsley","F","24","Young","246.282","paid","Red Bluff, CA","658","The Best Day","85"
"Blockhead","Aiden","M","0","Hess","285.98812","free","La Crosse-Onalaska, WI-MN","710","Carnivores Unite","86"
"MC Hammer","Aiden","M","1","Hess","256.86159","free","La Crosse-Onalaska, WI-MN","710","U Can't Touch This","86"
"Sally Shapiro","Aiden","M","2","Hess","392.82893","free","La Crosse-Onalaska, WI-MN","710","Miracle (Extended Mix)","86"
"Holy Fuck","Lily","F","2","Koch","362.762","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","P.I.G.S.","15"
"Angus & Julia Stone","Lily","F","3","Koch","218.8273","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Soldier","15"
"Los Fabulosos Cadillacs","Lily","F","4","Koch","275.69587","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Siguiendo La Luna","15"
"A Sunny Day In Glasgow","Lily","F","5","Koch","22.04689","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Lights","15"
"Mariah Carey Featuring Cameo","Lily","F","6","Koch","229.22404","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Loverboy","15"
"Tego Calderon","Lily","F","7","Koch","242.18077","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Metele Sazon","15"
"Bloodhound Gang","Lily","F","8","Koch","172.01587","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Foxtrot Uniform Charlie Kilo","15"
"Kings Of Leon","Lily","F","10","Koch","256.36526","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","The Runner","15"
"Iron Maiden","Lily","F","11","Koch","233.76934","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Run To The Hills (1998 Digital Remaster)","15"
"CafÃÂ© Tacvba","Lily","F","12","Koch","232.72444","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","MarÃÂ­a","15"
"Blink-182","Lily","F","13","Koch","280.00608","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","All Of This","15"
"Band Of Horses","Lily","F","14","Koch","321.14893","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","The Funeral (Album Version)","15"
"Primus","Lily","F","15","Koch","146.15465","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","De Anza Jig","15"
"Tom McRae","Lily","F","16","Koch","265.27302","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Walking 2 Hawaii","15"
"ALO (Animal Liberation Orchestra)","Lily","F","17","Koch","229.77261","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Spectrum","15"
"Yelle","Lily","F","18","Koch","192.31302","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Je Veux Te Voir (Radio Edit)","15"
"Kings Of Leon","Lily","F","19","Koch","201.79546","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Revelry","15"
"Foo Fighters","Lily","F","20","Koch","250.14812","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Everlong","15"
"Kanye West","Lily","F","21","Koch","311.84934","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Stronger","15"
"Annie Lennox","Lily","F","22","Koch","256.57424","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Wonderful","15"
"Madeleine Peyroux","Lily","F","23","Koch","214.77832","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Instead","15"
"Miley Cyrus","Lily","F","24","Koch","236.85179","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","The Climb","15"
"Coldplay","Lily","F","25","Koch","268.38159","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Yellow","15"
"Jag Panzer","Lily","F","26","Koch","217.99138","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Reign Of The Tyrants","15"
"The Notorious B.I.G.","Lily","F","27","Koch","285.93587","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Gimme The Loot (Album Version)","15"
"Emiliana Torrini","Lily","F","28","Koch","186.122","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Ha Ha (KCRW.com Presents)","15"
"Streetlight Manifesto","Lily","F","29","Koch","137.19465","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Punk Rock Girl","15"
"Dropkick Murphys","Lily","F","30","Koch","161.01832","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","The Auld Triangle (Album Version)","15"
"Carlo Siliotto","Cierra","F","1","Finley","175.38567","free","Richmond, VA","473","Kazakhstan 1710","96"
"The Raconteurs","Lily","F","31","Koch","265.50812","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Top Yourself","15"
"The Academy Is...","Cierra","F","2","Finley","207.96036","free","Richmond, VA","473","We've Got A Big Mess On Our Hands (Album Edit)","96"
"Justin Bieber","Cecilia","F","1","Owens","222.92853","free","Atlanta-Sandy Springs-Roswell, GA","735","Stuck In The Moment","6"
"Spiritual Beggars","Lily","F","32","Koch","358.24281","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Nowhere To Go","15"
"Bon Iver","Lily","F","33","Koch","238.49751","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Skinny Love","15"
"The Living End","Lily","F","34","Koch","229.0673","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Prisoner Of Society (Album Version)","15"
"Moby","Lily","F","35","Koch","196.75383","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Lift Me Up","15"
"Florence + The Machine","Lily","F","36","Koch","258.55955","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Cosmic Love","15"
"Miami Horror","Lily","F","37","Koch","386.5073","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Sometimes (Hook N Sling Remix)","15"
"Nacho Chapado feat. Stephen Massa","Lily","F","38","Koch","479.7122","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","B Somebody","15"
"Kate Nash","Lily","F","39","Koch","179.48689","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Pumpkin Soup","15"
"Benny Neyman","Lily","F","40","Koch","224.7571","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Waarom Fluister Ik Je Naam Nog","15"
"Boyzone","Lily","F","41","Koch","219.81995","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","All That I Need","15"
"Philip Glass","Lily","F","42","Koch","426.78812","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Chinese Invade","15"
"The Pussycat Dolls","Lily","F","43","Koch","225.61914","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Buttons","15"
"Madonna","Lily","F","44","Koch","260.75383","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Beautiful Stranger","15"
"Asking Alexandria","Lily","F","45","Koch","248.99873","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Hey There Mr. Brooks (feat. Feat. Shawn Mike of Alesana)","15"
"Pavement","Lily","F","46","Koch","99.16036","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Mercy:The Laundromat","15"
"Jack Johnson","Lily","F","47","Koch","236.93016","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Bubble Toes","15"
"Train","Lily","F","48","Koch","244.1922","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Calling All Angels","15"
"Cam'Ron / Juelz Santana","Lily","F","49","Koch","208.3522","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Oh Boy","15"
"Sugar Ray","Lily","F","50","Koch","218.33098","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","When It's Over (Remastered Album Version)","15"
"BeyoncÃÂ©","Lily","F","51","Koch","209.18812","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Broken-Hearted Girl","15"
"Faith No More","Lily","F","52","Koch","249.86077","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Last Cup Of Sorrow","15"
"Jokeren","Lily","F","53","Koch","239.49016","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Kvinde Din - MÃÂ¸gluder","15"
"Ween","Lily","F","54","Koch","250.17424","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Demon Sweat","15"
"King Diamond","Lily","F","55","Koch","408.47628","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","No Presents For Christmas","15"
"Mint Condition","Lily","F","56","Koch","279.06567","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Somethin' (feat. Phonte from Little Brother)","15"
"Delorean","Lily","F","57","Koch","272.63955","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Complexity Reducer","15"
"MylÃÂ¨ne Farmer","Lily","F","58","Koch","257.2273","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Porno Graphique","15"
"Green Day","Lily","F","59","Koch","194.06322","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Horseshoes And Handgrenades (Album Version)","15"
"Disturbed","Devin","M","0","Larson","185.65179","free","Tampa-St. Petersburg-Clearwater, FL","746","Sacred Lie (Album Version)","60"
"The New Pornographers","Lily","F","60","Koch","256.41751","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Adventures In Solitude","15"
"Sugarcult","Devin","M","1","Larson","199.13098","free","Tampa-St. Petersburg-Clearwater, FL","746","Saying Goodbye","60"
"Plies","Lily","F","61","Koch","231.6273","paid","Chicago-Naperville-Elgin, IL-IN-WI","716","Goons Lurkin (Explicit Album Version)","15"
"Daft Punk","Devin","M","2","Larson","207.59465","free","Tampa-St. Petersburg-Clearwater, FL","746","Aerodynamic","60"
"Train","Ryan","M","0","Smith","216.76363","free","San Jose-Sunnyvale-Santa Clara, CA","751","Hey_ Soul Sister","26"
"The Smiths","Emily","F","0","Benson","242.9122","paid","Augusta-Richmond County, GA-SC","720","There Is A Light That Never Goes Out","58"
"New Radicals","Harper","M","0","Barrett","300.82567","paid","New York-Newark-Jersey City, NY-NJ-PA","747","You Get What You Give","42"
"The Features","Emily","F","1","Benson","125.46567","paid","Augusta-Richmond County, GA-SC","720","Exhibit A","58"
"Ella Fitzgerald","Harper","M","1","Barrett","427.15383","paid","New York-Newark-Jersey City, NY-NJ-PA","747","On Green Dolphin Street (Medley) (1999 Digital Remaster)","42"
"Toro Y Moi","Emily","F","2","Benson","182.02077","paid","Augusta-Richmond County, GA-SC","720","Causers Of This","58"
"DJ Dizzy","Emily","F","3","Benson","221.1522","paid","Augusta-Richmond County, GA-SC","720","Sexy Bitch","58"
"Cartola","Harper","M","2","Barrett","127.242","paid","New York-Newark-Jersey City, NY-NJ-PA","747","Tive Sim","42"
"The Casualties","Harper","M","3","Barrett","131.23873","paid","New York-Newark-Jersey City, NY-NJ-PA","747","Fight For Your Life","42"
"Panic! At The Disco","Harper","M","4","Barrett","186.64444","paid","New York-Newark-Jersey City, NY-NJ-PA","747","I Write Sins Not Tragedies (Album Version)","42"
"The Wallflowers","Harper","M","5","Barrett","421.17179","paid","New York-Newark-Jersey City, NY-NJ-PA","747","Hollywood","42"
"Rick James","Harper","M","6","Barrett","295.31383","paid","New York-Newark-Jersey City, NY-NJ-PA","747","Mary Jane","42"
"RÃÂ¶yksopp","Harper","M","7","Barrett","300.14649","paid","New York-Newark-Jersey City, NY-NJ-PA","747","What Else Is There?","42"
"Lamb","Harper","M","8","Barrett","352.20853","paid","New York-Newark-Jersey City, NY-NJ-PA","747","Gabriel","42"
"Joe Nichols","Harper","M","9","Barrett","237.5571","paid","New York-Newark-Jersey City, NY-NJ-PA","747","Talk Me Out Of Tampa","42"
"Samy Deluxe","Kaleb","M","0","Cook","191.16363","free","Yuba City, CA","743","Pdsa","54"
"Sepultura","Harper","M","10","Barrett","199.23546","paid","New York-Newark-Jersey City, NY-NJ-PA","747","Refuse/Resist (Explicit Album Version)","42"
"Ozzy Osbourne","Kaleb","M","1","Cook","248.42404","free","Yuba City, CA","743","Secret Loser","54"
"VCR","Brayden","M","0","Clark","193.69751","free","New York-Newark-Jersey City, NY-NJ-PA","736","On Its Way Out","41"
"P!nk","Stefany","F","0","White","227.02975","free","Lubbock, TX","697","Glitter In The Air","83"
"DAVE MATTHEWS BAND","Stefany","F","1","White","239.35955","free","Lubbock, TX","697","Time Bomb","83"
"Summer Cats","Stefany","F","2","White","219.42812","free","Lubbock, TX","697","Wild Rice","83"
"Liquid Spill","Aleena","F","1","Kirby","376.16281","paid","Waterloo-Cedar Falls, IA","639","Words- Till the mornin' comes Mix","44"
"Ressurrection Band","Aleena","F","2","Kirby","183.17016","paid","Waterloo-Cedar Falls, IA","639","First Degree Apathy","44"
"Meat Loaf","Aleena","F","3","Kirby","236.38159","paid","Waterloo-Cedar Falls, IA","639","Because Of You","44"
"Josh Rouse","Aleena","F","4","Kirby","258.87302","paid","Waterloo-Cedar Falls, IA","639","My Love Has Gone","44"
"Maddy Prior & Tim Hart","Aleena","F","5","Kirby","141.37424","paid","Waterloo-Cedar Falls, IA","639","Cannily Cannily","44"
"Bunbury","Aleena","F","6","Kirby","533.78567","paid","Waterloo-Cedar Falls, IA","639","Demasiado Tarde (Ahorita Mismo)","44"
"Jason Mraz","Aleena","F","7","Kirby","252.39465","paid","Waterloo-Cedar Falls, IA","639","Live High (Album Version)","44"
"The dB's","Aleena","F","8","Kirby","118.41261","paid","Waterloo-Cedar Falls, IA","639","Black And White","44"
"Camera Obscura","Aleena","F","9","Kirby","170.89261","paid","Waterloo-Cedar Falls, IA","639","The Sun On His Back","44"
"Juanes","Aleena","F","10","Kirby","248.97261","paid","Waterloo-Cedar Falls, IA","639","Para Tu Amor","44"
"ATB","Aleena","F","11","Kirby","262.21669","paid","Waterloo-Cedar Falls, IA","639","Marrakech","44"
"Cracker","Aleena","F","12","Kirby","205.03465","paid","Waterloo-Cedar Falls, IA","639","I'm A Little Rocket Ship","44"
"Blue Man Group","Aleena","F","13","Kirby","386.53342","paid","Waterloo-Cedar Falls, IA","639","The Complex","44"
"At Vance","Aleena","F","14","Kirby","201.82159","paid","Waterloo-Cedar Falls, IA","639","Heart Of Steel","44"
"Wim Mertens","Aleena","F","15","Kirby","289.88036","paid","Waterloo-Cedar Falls, IA","639","Houfnice","44"
"Beirut","Aleena","F","16","Kirby","142.31465","paid","Waterloo-Cedar Falls, IA","639","The Penalty","44"
"Jonathan Edwards","Aleena","F","17","Kirby","238.39302","paid","Waterloo-Cedar Falls, IA","639","Longest Ride (LP Version )","44"
"Shout Out Louds","Aleena","F","18","Kirby","215.97995","paid","Waterloo-Cedar Falls, IA","639","There's Nothing","44"
"John Mayer","Kaylee","F","1","Summers","255.11138","free","Phoenix-Mesa-Scottsdale, AZ","705","War Of My Life","8"
"Los Campesinos!","Aleena","F","19","Kirby","119.11791","paid","Waterloo-Cedar Falls, IA","639","(PLAN A)","44"
"Scissor Sisters","Aleena","F","20","Kirby","271.85587","paid","Waterloo-Cedar Falls, IA","639","Take Your Mama","44"
"Kid Cudi Vs Crookers","Aleena","F","21","Kirby","162.97751","paid","Waterloo-Cedar Falls, IA","639","Day 'N' Nite","44"
"Ana Torroja","Aleena","F","22","Kirby","311.66649","paid","Waterloo-Cedar Falls, IA","639","Un AÃÂ±o Mas","44"
"John Mayer","Aleena","F","24","Kirby","250.38322","paid","Waterloo-Cedar Falls, IA","639","Half Of My Heart","44"
"Lyle Mays","Kinsley","F","0","Young","240.97914","paid","Red Bluff, CA","759","This Moment (Album Version)","85"
"Beenie Man","Aleena","F","25","Kirby","230.03383","paid","Waterloo-Cedar Falls, IA","639","Girls Dem Sugar","44"
"The-Dream / Fabolous","Kinsley","F","1","Young","262.81751","paid","Red Bluff, CA","759","Shawty Is Da Sh*!","85"
"Soul II Soul","Aleena","F","26","Kirby","239.67302","paid","Waterloo-Cedar Falls, IA","639","How Long","44"
"Arcade Fire","Kinsley","F","2","Young","169.19465","paid","Red Bluff, CA","759","I'm Sleeping In A Submarine","85"
"Kansas","Aleena","F","27","Kirby","233.03791","paid","Waterloo-Cedar Falls, IA","639","Hold On","44"
"Snow Patrol","Kinsley","F","3","Young","223.18975","paid","Red Bluff, CA","759","Set Down Your Glass","85"
"Taylor Swift","Aleena","F","28","Kirby","224.9922","paid","Waterloo-Cedar Falls, IA","639","Forever & Always","44"
"Kylie Minogue","Kinsley","F","4","Young","271.3073","paid","Red Bluff, CA","759","Come Into My World","85"
"Paulina Rubio","Aleena","F","29","Kirby","174.31465","paid","Waterloo-Cedar Falls, IA","639","Un Dia Gris","44"
"Andrew Bird","Kinsley","F","5","Young","252.31628","paid","Red Bluff, CA","759","Fiery Crash","85"
"The Rapture","Aleena","F","30","Kirby","323.47383","paid","Waterloo-Cedar Falls, IA","639","Open Up Your Heart","44"
"Horkyze Slyze","Kinsley","F","6","Young","124.44689","paid","Red Bluff, CA","759","Fakty","85"
"The Killers","Aleena","F","31","Kirby","220.89098","paid","Waterloo-Cedar Falls, IA","639","When You Were Young","44"
"Jason Mraz","Kinsley","F","7","Young","252.39465","paid","Red Bluff, CA","759","Live High (Album Version)","85"
"Lady GaGa","Aleena","F","32","Kirby","263.33995","paid","Waterloo-Cedar Falls, IA","639","Paper Gangsta","44"
"Hans Zimmer_ James Newton Howard","Kinsley","F","8","Young","265.50812","paid","Red Bluff, CA","759","Nycteris","85"
"Soltero","Aleena","F","33","Kirby","191.7122","paid","Waterloo-Cedar Falls, IA","639","Step Through The Door","44"
"Blur","Aleena","F","34","Kirby","237.03465","paid","Waterloo-Cedar Falls, IA","639","Country House","44"
"Carlton Livingston_ Shabba Ranks","Aleena","F","35","Kirby","226.32444","paid","Waterloo-Cedar Falls, IA","639","Rumours","44"
"Finger Eleven","Aleena","F","36","Kirby","208.1171","paid","Waterloo-Cedar Falls, IA","639","Paralyzer","44"
"Elbee Bad","Aleena","F","37","Kirby","254.53669","paid","Waterloo-Cedar Falls, IA","639","Dream On! New Age Of Faith / Smokebelch","44"
"Boney James","Molly","F","0","Taylor","327.3922","free","St. Louis, MO-IL","740","Seduction (Album Version)","35"
"Sauce Money Featuring Memphis Bleek","Aleena","F","38","Kirby","280.21506","paid","Waterloo-Cedar Falls, IA","639","What We Do (Explicit) (Feat. Memphis Bleek)","44"
"Toy Matinee","Aleena","F","39","Kirby","297.19465","paid","Waterloo-Cedar Falls, IA","639","Things She Said","44"
"Markus KrunegÃÂ¥rd","Aleena","F","40","Kirby","256.93995","paid","Waterloo-Cedar Falls, IA","639","Jag ÃÂ¤r en vampyr","44"
"The Mountain Goats","Aleena","F","41","Kirby","222.74567","paid","Waterloo-Cedar Falls, IA","639","Heretic Pride","44"
"Modest Mouse","Sienna","F","0","Colon","209.52771","free","Las Cruces, NM","386","Float On","81"
"Emiliana Torrini","Aleena","F","42","Kirby","184.29342","paid","Waterloo-Cedar Falls, IA","639","Sunny Road","44"
"Habib KoitÃÂ©","Sienna","F","1","Colon","305.71057","free","Las Cruces, NM","386","Baro","81"
